,century,word,count
2718,1800,limbs,2
3176,1800,young,2
4789,1900,immense,2
2693,1800,large,2
2682,1800,kiss,2
4793,1900,impart,2
2698,1800,leaf,2
2702,1800,leep,2
3171,1800,yield,2
2669,1800,instead,2
2703,1800,left,2
1602,1700,burst,2
2666,1800,infant,2
2707,1800,leviathans,2
4512,1900,gliding,2
4778,1900,hyde,2
3167,1800,wounds,2
4810,1900,infinite,2
5542,1900,poisonous,2
4516,1900,glistening,2
3162,1800,work,2
3159,1800,won,2
4519,1900,gloomy,2
3157,1800,woeful,2
2652,1800,how,2
2651,1800,hour,2
3156,1800,without,2
5530,1900,plough,2
3153,1800,withdrew,2
4774,1900,hurt,2
2740,1800,low,2
1659,1700,dew,2
2603,1800,glory,2
4747,1900,horses,2
1692,1700,ease,2
1693,1700,east,2
5470,1900,peace,2
2552,1800,flushed,2
4878,1900,journeys,2
2550,1800,flower,2
2548,1800,flies,2
5466,1900,pause,2
2547,1800,flew,2
2546,1800,fleeter,2
2545,1800,fleet,2
3107,1800,wake,2
2543,1800,fled,2
5461,1900,patience,2
4544,1900,gore,2
4881,1900,joyous,2
4745,1900,horse,2
3105,1800,wail,2
5458,1900,path,2
2537,1800,fires,2
2536,1800,fire,2
2535,1800,find,2
1710,1700,excess,2
2771,1800,moments,2
4547,1900,got,2
4888,1900,keels,2
5451,1900,passionate,2
2530,1800,fierce,2
3099,1800,victor,2
2766,1800,mine,2
2763,1800,mermaids,2
2601,1800,gloom,2
4872,1900,jesus,2
4845,1900,itself,2
4760,1900,hue,2
2594,1800,gentle,2
2591,1800,gaze,2
2590,1800,gave,2
2588,1800,gallant,2
2587,1800,gain,2
4527,1900,glowing,2
1668,1700,divine,2
5488,1900,perhaps,2
2584,1800,funeral,2
2583,1800,full,2
4754,1900,housedoor,2
2577,1800,freeman,2
4860,1900,jacket,2
4862,1900,jacksons,2
2571,1800,found,2
1679,1700,dream,2
2569,1800,fought,2
