,century,word,count
1518,1700,while,2
2717,1900,bosoms,2
1558,1800,after,2
4159,1900,lest,2
4638,1900,pits,2
1441,1700,strain,2
1621,1800,bold,2
2408,1800,young,2
4226,1900,lookd,2
1553,1800,adamantine,2
2719,1900,boughs,2
1524,1700,whose,2
4154,1900,length,2
1633,1800,breast,2
4214,1900,load,2
4010,1900,itself,2
1429,1700,sought,2
4192,1900,limbs,2
2341,1800,wail,2
2684,1900,blessed,2
3960,1900,impart,2
4592,1900,path,2
2698,1900,blowing,2
4724,1900,purple,2
1638,1800,brine,2
3956,1900,immense,2
1430,1700,soul,2
1526,1700,wife,2
4595,1900,patience,2
2337,1800,victor,2
1510,1700,well,2
1519,1700,whilst,2
2343,1800,wake,2
4216,1900,lofty,2
4717,1900,psalm,2
2385,1800,withdrew,2
2671,1900,blackened,2
4191,1900,limb,2
1520,1700,white,2
4169,1900,lieutenant,2
2277,1800,thegither,2
1529,1700,wine,2
2389,1800,woeful,2
4658,1900,plough,2
1629,1800,brand,2
4647,1900,planted,2
2687,1900,blest,2
2371,1800,why,2
2403,1800,yield,2
1578,1800,ask,2
4203,1900,listen,2
1577,1800,art,2
1576,1800,arms,2
2298,1800,till,2
4639,1900,pity,2
4204,1900,listend,2
4619,1900,perhaps,2
2297,1800,tidings,2
1462,1700,thence,2
2328,1800,upon,2
4163,1900,lexington,2
2675,1900,blast,2
1465,1700,thine,2
1579,1800,asleep,2
1443,1700,strikes,2
2401,1800,years,2
4691,1900,prayed,2
1472,1700,through,2
2351,1800,wave,2
2368,1800,whilst,2
4222,1900,longer,2
1580,1800,aught,2
1470,1700,thought,2
2299,1800,time,2
4694,1900,presence,2
1582,1800,babe,2
1467,1700,those,2
1584,1800,back,2
2663,1900,birds,2
2662,1900,bird,2
3976,1900,infinite,2
2301,1800,tiny,2
1499,1700,verse,2
1611,1800,blessed,2
1449,1700,sweet,2
4188,1900,likewise,2
4005,1900,isles,2
2377,1800,wildly,2
4645,1900,planned,2
2304,1800,too,2
2669,1900,bitter,2
1556,1800,afloat,2
4668,1900,poisonous,2
2688,1900,blew,2
4707,1900,promising,2
4604,1900,peace,2
1552,1800,across,2
4219,1900,lone,2
2376,1800,wild,2
4223,1900,longing,2
1504,1700,walking,2
2329,1800,uproar,2
2711,1900,bones,2
1607,1800,blaze,2
4700,1900,pride,2
2315,1800,TRUE,2
1606,1800,birth,2
1456,1700,tears,2
1605,1800,billow,2
4174,1900,lifes,2
1482,1700,TRUE,2
1572,1800,anticipate,2
4186,1900,lights,2
4698,1900,pressed,2
2692,1900,bliss,2
3986,1900,instant,2
1726,1800,determined,2
1640,1800,britains,2
2552,1900,autumn,2
4443,1900,nay,2
2482,1900,amiable,2
2112,1800,pretty,2
2114,1800,pride,2
1885,1800,glory,2
1883,1800,gloom,2
2119,1800,proudly,2
1901,1800,hailed,2
2478,1900,although,2
4318,1900,measured,2
4113,1900,latch,2
1877,1800,gentle,2
2127,1800,quoth,2
4458,1900,nevermore,2
4442,1900,navy,2
4073,1900,knee,2
1873,1800,gave,2
1916,1800,heaven,2
2541,1900,ask,2
2092,1800,peace,2
2489,1900,anger,2
2094,1800,people,2
4434,1900,nameless,2
1917,1800,held,2
2095,1800,perfect,2
4438,1900,nature,2
4435,1900,narrow,2
4335,1900,mercy,2
4333,1900,mentioned,2
2102,1800,poets,2
1911,1800,havoc,2
1907,1800,has,2
1874,1800,gaze,2
1871,1800,gallant,2
2274,1800,ten,2
1833,1800,fleet,2
1838,1800,flower,2
4483,1900,nook,2
4301,1900,markd,2
1835,1800,flew,2
2146,1800,roll,2
1834,1800,fleeter,2
4484,1900,noonday,2
1840,1800,flushed,2
1831,1800,fled,2
2147,1800,rolls,2
2148,1800,rose,2
1826,1800,fires,2
4300,1900,mark,2
1825,1800,fire,2
2142,1800,riou,2
4476,1900,nobler,2
2128,1800,raise,2
1858,1800,found,2
1868,1800,funeral,2
1867,1800,full,2
2136,1800,renown,2
4118,1900,laughing,2
1862,1800,freeman,2
1860,1800,free,2
2138,1800,repose,2
4474,1900,ninetythird,2
2563,1900,awry,2
1856,1800,fought,2
1855,1800,forth,2
1853,1800,form,2
2564,1900,aye,2
2565,1900,azure,2
2090,1800,past,2
4431,1900,naked,2
2089,1800,passd,2
2057,1800,nelson,2
4388,1900,mortals,2
1997,1800,long,2
1996,1800,lofty,2
4360,1900,minutes,2
1995,1800,locks,2
2053,1800,nay,2
2059,1800,newborn,2
2001,1800,lovd,2
4085,1900,knowledge,2
1987,1800,limbs,2
2498,1900,answered,2
1982,1800,life,2
2064,1800,north,2
1978,1800,leviathans,2
1999,1800,looked,2
2045,1800,much,2
2087,1800,part,2
2040,1800,mortal,2
2031,1800,mine,2
4365,1900,mistress,2
2028,1800,mermaids,2
2037,1800,more,2
2024,1800,meet,2
2039,1800,morning,2
4363,1900,miss,2
4087,1900,knows,2
2043,1800,mournful,2
2009,1800,low,2
2044,1800,mouth,2
4088,1900,labor,2
2005,1800,lovely,2
2004,1800,loveliest,2
4397,1900,mountains,2
1974,1800,left,2
